iter	Logloss
0	0.6826906197
1	0.6728735022
2	0.6632753157
3	0.653994835
4	0.6452658478
5	0.6368796925
6	0.6284389742
7	0.6205478492
8	0.6120225018
9	0.6039879716
10	0.5960139485
11	0.5885922886
12	0.5815608567
13	0.5746199574
14	0.5680595944
15	0.5612446901
16	0.5547461632
17	0.5484126915
18	0.5420975486
19	0.5360238168
20	0.5293260416
21	0.5227110914
22	0.5165784245
23	0.5106978137
24	0.5054076387
25	0.5000347773
26	0.4951661987
27	0.489972992
28	0.4844784448
29	0.4796730383
30	0.4748858123
31	0.4699508277
32	0.4658112586
33	0.4610169723
34	0.4569523621
35	0.4524932405
36	0.4486919523
37	0.4450152003
38	0.4410282256
39	0.4377283238
40	0.4341079361
41	0.4308775547
42	0.4275146943
43	0.4241296749
44	0.4211322111
45	0.4180672809
46	0.4144608878
47	0.4110132405
48	0.4082309136
49	0.4055647815
50	0.4029433184
51	0.4004035013
52	0.3977992122
53	0.3948732045
54	0.3920200148
55	0.3895323682
56	0.3867328632
57	0.3840343656
58	0.381379071
59	0.3788265685
60	0.3768090361
61	0.3745465059
62	0.372392368
63	0.3703234071
64	0.3685221459
65	0.3665368005
66	0.3646133442
67	0.3629524694
68	0.3613156531
69	0.3595549464
70	0.3575488293
71	0.3559152734
72	0.3543773984
73	0.3527522172
74	0.3511853309
75	0.3497086973
76	0.3482328361
77	0.3463995185
78	0.3450274013
79	0.3435320064
80	0.3422338953
81	0.3407724586
82	0.3395153732
83	0.3381012778
84	0.3365197915
85	0.3354736626
86	0.3340149263
87	0.3325150762
88	0.3314572766
89	0.3303205892
90	0.3292859722
91	0.3279808525
92	0.3266693242
93	0.3253049989
94	0.3243204728
95	0.3231885026
96	0.3219908183
97	0.3211443898
98	0.3202828825
99	0.3193551845
100	0.3185743567
101	0.3174682316
102	0.3164798317
103	0.3154727818
104	0.3145344764
105	0.3138056102
106	0.3131200847
107	0.3123829703
108	0.3117074361
109	0.3109542131
110	0.3102590757
111	0.3092966393
112	0.3085761794
113	0.3079052068
114	0.3072827246
115	0.306693648
116	0.3059057404
117	0.3052858555
118	0.3046341997
119	0.3038863495
120	0.3031552079
121	0.3026279674
122	0.3020379326
123	0.3015176186
124	0.3007866588
125	0.3001789545
126	0.2997096182
127	0.2991352921
128	0.2986376533
129	0.2981567603
130	0.2976480599
131	0.2972295799
132	0.2967971709
133	0.2962598385
134	0.2957779524
135	0.2953260722
136	0.2947199061
137	0.2941048927
138	0.2936293178
139	0.2932409262
140	0.2928148125
141	0.2924152014
142	0.2918895528
143	0.2914736652
144	0.2909737241
145	0.2904742264
146	0.2900726566
147	0.2896909335
148	0.2893072479
149	0.2890019727
150	0.2887037318
151	0.2883254472
152	0.2879979593
153	0.2876708403
154	0.2872859488
155	0.2869704999
156	0.2867211131
157	0.2864501782
158	0.2860702298
159	0.2855498661
160	0.2852024792
161	0.284920357
162	0.284647248
163	0.2842003065
164	0.2838590904
165	0.2835630114
166	0.2833177455
167	0.2828983687
168	0.2826208341
169	0.282435369
170	0.2820762374
171	0.2818253009
172	0.2815986478
173	0.2812911287
174	0.2809488663
175	0.2806724273
176	0.2804746408
177	0.2802824651
178	0.2801056004
179	0.279893334
180	0.2795963883
181	0.2792678872
182	0.2790760855
183	0.2788861123
184	0.278599862
185	0.2783903234
186	0.2781693954
187	0.2780186971
188	0.2778052197
189	0.2776426366
190	0.2773415032
191	0.2771390712
192	0.2769640174
193	0.2768008455
194	0.2765464147
195	0.2762503938
196	0.2760703041
197	0.2758868545
198	0.2756896128
199	0.2754300319
200	0.2752537582
201	0.2750393387
202	0.2748872655
203	0.2747332488
204	0.274578306
205	0.274459169
206	0.274309724
207	0.2741040148
208	0.2739608927
209	0.2738512113
210	0.2736440016
211	0.273523849
212	0.2733152502
213	0.273184458
214	0.2729866103
215	0.272811618
216	0.2725829721
217	0.2724066717
218	0.2722589275
219	0.2721222954
220	0.2719178473
221	0.2717983216
222	0.2716676112
223	0.2715437492
224	0.2714335102
225	0.271245668
226	0.271154425
227	0.2710276529
228	0.2708678893
229	0.2707082995
230	0.2704756782
231	0.2702919992
232	0.2701639765
233	0.2700559243
234	0.2699489537
235	0.2698644265
236	0.2697657127
237	0.2696623963
238	0.2695529459
239	0.2694813978
240	0.2693789455
241	0.2692698831
242	0.2691740296
243	0.2689653554
244	0.2688248231
245	0.2687372124
246	0.2686660511
247	0.2685897989
248	0.2684503104
249	0.2683773525
250	0.2682909533
251	0.2681228054
252	0.2679913551
253	0.267803138
254	0.26769222
255	0.2675650229
256	0.2674719599
257	0.2673417401
258	0.2672406921
259	0.2671677498
260	0.2670369053
261	0.2669577106
262	0.2668326519
263	0.2667637139
264	0.2666602158
265	0.26653337
266	0.2664620677
267	0.2663938269
268	0.2663327713
269	0.266252177
270	0.2661824401
271	0.2660771503
272	0.2660019604
273	0.2659065677
274	0.2658296623
275	0.2656851848
276	0.2656219466
277	0.2655277301
278	0.2654411918
279	0.2653590039
280	0.2653118902
281	0.2652023626
282	0.2651574419
283	0.2650966419
284	0.2650196899
285	0.2649490164
286	0.2648820235
287	0.264814841
288	0.2647171036
289	0.2646670036
290	0.2646020969
291	0.2645334711
292	0.2644349193
293	0.2643297226
294	0.2642705872
295	0.2642196962
296	0.2641389761
297	0.2640805237
298	0.2640221315
299	0.2639636067
300	0.2639036269
301	0.2638397238
302	0.263781486
303	0.2637230246
304	0.2636686518
305	0.2636135
306	0.2635655186
307	0.2635125411
308	0.2634281606
309	0.2633760986
310	0.263294753
311	0.2632334218
312	0.2631791581
313	0.2630973186
314	0.2630005535
315	0.2629488902
316	0.2628906305
317	0.262848735
318	0.2627902389
319	0.2627214544
320	0.2626379963
321	0.2625805661
322	0.2625408127
323	0.2624922828
324	0.2624414076
325	0.2623504288
326	0.2623096792
327	0.2621796558
328	0.2621239286
329	0.2620579679
330	0.2620204206
331	0.2619863159
332	0.261950479
333	0.2619069906
334	0.2618253729
335	0.2617576858
336	0.2616957399
337	0.2616028094
338	0.2615683679
339	0.261527512
340	0.2614522236
341	0.2614152592
342	0.261357965
343	0.2612773848
344	0.2612360121
345	0.261166761
346	0.2611201501
347	0.2610870636
348	0.2610327519
349	0.2609882055
350	0.2609262929
351	0.2608782886
352	0.260820192
353	0.2607856172
354	0.2607405109
355	0.2607011458
356	0.260647453
357	0.2605915725
