iter	Passed	Remaining
0	74	405243
1	147	400646
2	219	398362
3	279	380570
4	348	379411
5	405	367470
6	465	361406
7	518	352056
8	577	348847
9	632	343999
10	682	337179
11	735	332922
12	789	329744
13	839	325556
14	892	323109
15	946	321019
16	995	317819
17	1043	314501
18	1100	314225
19	1158	314236
20	1205	311472
21	1265	311954
22	1323	311974
23	1384	312639
24	1430	310137
25	1484	309498
26	1537	308492
27	1587	307076
28	1641	306652
29	1691	305377
30	1741	304090
31	1788	302529
32	1846	302851
33	1901	302640
34	1948	301233
35	2000	300506
36	2057	300732
37	2113	300744
38	2164	300034
39	2223	300487
40	2279	300504
41	2336	300564
42	2393	300693
43	2449	300643
44	2503	300429
45	2558	300273
46	2610	299846
47	2658	298884
48	2712	298657
49	2758	297601
50	2808	296990
51	2859	296545
52	2914	296505
53	2972	296798
54	3027	296732
55	3089	297306
56	3146	297413
57	3199	297135
58	3253	296971
59	3306	296796
60	3360	296624
61	3417	296732
62	3472	296613
63	3533	297064
64	3600	298017
65	3656	298043
66	3713	298041
67	3761	297422
68	3819	297585
69	3870	297170
70	3925	297122
71	3980	297039
72	4024	296160
73	4071	295495
74	4123	295264
75	4179	295231
76	4232	295043
77	4287	295026
78	4346	295203
79	4398	294995
80	4450	294737
81	4501	294433
82	4554	294212
83	4609	294200
84	4663	294077
85	4713	293721
86	4769	293710
87	4824	293692
88	4877	293533
89	4937	293788
90	4998	294060
91	5051	293948
92	5104	293779
93	5162	293897
94	5230	294568
95	5295	295042
96	5350	294980
97	5408	295067
98	5459	294825
99	5522	295184
100	5577	295089
101	5640	295451
102	5693	295265
103	5751	295389
104	5805	295268
105	5864	295358
106	5920	295381
107	5976	295351
108	6039	295661
109	6092	295480
110	6156	295821
111	6214	295898
112	6276	296172
113	6340	296512
114	6405	296893
115	6451	296393
116	6511	296505
117	6571	296666
118	6636	297031
119	6696	297176
120	6749	296980
121	6807	297022
122	6872	297372
123	6928	297327
124	6987	297369
125	7057	297942
126	7111	297769
127	7177	298125
128	7238	298277
129	7304	298635
130	7369	298931
131	7436	299331
132	7490	299157
133	7558	299590
134	7636	300370
135	7707	300876
136	7774	301238
137	7838	301458
138	7898	301495
139	7954	301422
140	8018	301628
141	8087	302027
142	8151	302221
143	8220	302620
144	8292	303106
145	8364	303593
146	8431	303862
147	8492	303964
148	8552	303985
149	8608	303882
150	8670	303981
151	8728	303956
152	8793	304147
153	8860	304407
154	8920	304446
155	8987	304723
156	9049	304805
157	9109	304836
158	9165	304710
159	9236	305079
160	9312	305630
161	9376	305765
162	9429	305553
163	9502	306005
164	9568	306182
165	9629	306236
166	9689	306242
167	9750	306274
168	9812	306349
169	9880	306572
170	9940	306593
171	10016	307078
172	10092	307552
173	10158	307744
174	10226	307974
175	10292	308146
176	10358	308308
177	10425	308497
178	10486	308504
179	10552	308646
180	10621	308910
181	10679	308817
182	10747	309025
183	10802	308862
184	10869	309033
185	10944	309447
186	11016	309761
187	11086	310018
188	11162	310411
189	11227	310540
190	11296	310747
191	11372	311133
192	11434	311148
193	11510	311549
194	11571	311552
