iter	Passed	Remaining
0	60	330349
1	112	305103
2	171	310342
3	225	306162
4	285	311042
5	345	313014
6	404	314237
7	473	321505
8	537	324474
9	602	327580
10	654	323248
11	710	321592
12	762	318723
13	816	316655
14	870	315252
15	920	312490
16	980	313151
17	1036	312575
18	1093	312250
19	1146	310937
20	1205	311339
21	1253	308932
22	1307	308137
23	1362	307743
24	1418	307545
25	1472	306945
26	1528	306726
27	1580	305759
28	1636	305705
29	1685	304227
30	1739	303762
31	1798	304144
32	1846	302868
33	1898	302152
34	1954	302119
35	2019	303492
36	2072	302879
37	2128	302802
38	2179	302105
39	2227	301050
40	2282	300781
41	2339	300949
42	2396	301043
43	2448	300569
44	2503	300419
45	2548	299169
46	2605	299301
47	2659	299014
48	2710	298526
49	2764	298247
50	2822	298539
51	2873	297971
52	2928	297938
53	2981	297668
54	3036	297539
55	3086	297026
56	3139	296773
57	3201	297355
58	3255	297153
59	3311	297230
60	3359	296508
61	3409	295985
62	3466	296129
63	3516	295629
64	3567	295277
65	3617	294787
66	3675	294989
67	3722	294369
68	3775	294183
69	3826	293836
70	3880	293752
71	3937	293804
72	4001	294482
73	4051	294077
74	4101	293645
75	4155	293553
76	4205	293154
77	4264	293433
78	4326	293874
79	4383	293976
80	4441	294142
81	4498	294240
82	4550	293989
83	4609	294181
84	4668	294402
85	4728	294657
86	4783	294592
87	4841	294701
88	4881	293752
89	4936	293738
90	5000	294184
91	5057	294251
92	5115	294386
93	5171	294409
94	5227	294411
95	5287	294601
96	5351	295039
97	5409	295154
98	5469	295378
99	5533	295781
100	5594	295985
101	5646	295771
102	5708	296084
103	5765	296102
104	5826	296304
105	5879	296126
106	5930	295866
107	5987	295859
108	6052	296315
109	6114	296531
110	6169	296447
111	6227	296544
112	6284	296527
113	6351	297020
114	6419	297531
115	6474	297437
116	6533	297503
117	6589	297467
118	6653	297806
119	6710	297757
120	6782	298413
121	6853	299026
122	6922	299528
123	6992	300063
124	7058	300422
125	7130	301004
126	7205	301742
127	7268	301923
128	7327	301949
129	7380	301751
130	7438	301746
131	7502	301976
132	7564	302124
133	7616	301882
134	7682	302169
135	7741	302203
136	7813	302721
137	7878	302976
138	7939	303068
139	8007	303409
140	8073	303717
141	8133	303737
142	8196	303898
143	8265	304261
144	8337	304746
145	8395	304711
146	8461	304949
147	8530	305316
148	8596	305559
149	8664	305871
150	8726	305961
151	8790	306096
152	8838	305720
153	8908	306063
154	8966	306024
155	9030	306179
156	9092	306237
157	9162	306599
158	9225	306689
159	9298	307150
160	9366	307405
161	9437	307754
162	9496	307743
163	9566	308059
164	9632	308239
165	9696	308375
166	9762	308533
167	9834	308915
168	9905	309251
169	9972	309440
170	10034	309485
171	10095	309511
172	10167	309837
173	10236	310097
174	10300	310177
175	10360	310156
176	10434	310556
177	10505	310869
178	10567	310887
179	10635	311091
180	10708	311426
181	10772	311512
182	10838	311645
183	10904	311773
184	10970	311931
185	11034	312003
186	11108	312336
187	11168	312315
188	11227	312226
189	11297	312461
190	11355	312358
191	11416	312354
192	11473	312213
193	11539	312334
194	11603	312390
195	11669	312511
196	11734	312605
197	11804	312828
198	11865	312794
199	11937	313064
200	12011	313384
201	12077	313475
202	12154	313851
203	12220	313948
204	12278	313856
205	12354	314193
206	12409	314024
207	12472	314034
208	12536	314084
209	12604	314214
210	12669	314272
211	12732	314287
212	12799	314408
213	12863	314439
214	12933	314624
215	12999	314690
216	13073	314965
217	13148	315254
218	13212	315286
219	13281	315440
220	13347	315508
221	13420	315738
222	13493	315980
223	13561	316087
224	13627	316163
225	13695	316278
226	13761	316339
227	13830	316471
228	13906	316762
229	13970	316769
230	14041	316931
231	14102	316882
232	14169	316968
233	14239	317105
234	14307	317190
235	14375	317304
236	14442	317370
237	14508	317419
238	14572	317435
239	14632	317338
240	14687	317145
241	14761	317362
242	14828	317445
243	14882	317225
244	14949	317301
245	15013	317302
246	15080	317371
247	15164	317773
248	15229	317810
249	15290	317744
250	15349	317630
251	15411	317583
252	15486	317800
253	15555	317902
254	15627	318070
255	15698	318200
256	15759	318138
257	15830	318274
258	15895	318285
259	15972	318529
260	16034	318472
261	16102	318537
262	16169	318592
263	16237	318665
264	16292	318464
265	16355	318435
266	16423	318496
267	16492	318597
268	16559	318641
269	16618	318527
270	16687	318598
271	16753	318626
272	16821	318677
273	16894	318831
274	16963	318921
275	17034	319024
276	17107	319166
277	17170	319128
278	17228	319012
279	17297	319074
280	17366	319154
