iter	Passed	Remaining
0	71	387144
1	141	384549
2	196	356232
3	257	349811
4	318	346023
5	388	352535
6	443	344771
7	504	343175
8	563	340160
9	626	340627
10	678	335336
11	740	335472
12	800	334533
13	858	332848
14	918	332392
15	971	329736
16	1017	324935
17	1072	323239
18	1132	323385
19	1189	322613
20	1243	321074
21	1303	321244
22	1360	320828
23	1422	321371
24	1484	321785
25	1543	321775
26	1601	321457
27	1654	320030
28	1713	319986
29	1777	320754
30	1832	320009
31	1891	319932
32	1943	318749
33	2007	319516
34	2064	319142
35	2117	318127
36	2171	317416
37	2229	317271
38	2283	316470
39	2344	316742
40	2398	316164
41	2449	315132
42	2507	314954
43	2558	314075
44	2610	313260
45	2671	313570
46	2723	312749
47	2774	311987
48	2818	310433
49	2878	310559
50	2933	310293
51	2988	309916
52	3032	308537
53	3083	307853
54	3143	308075
55	3196	307591
56	3251	307365
57	3297	306292
58	3350	305835
59	3406	305697
60	3456	305044
61	3510	304771
62	3564	304529
63	3624	304760
64	3679	304543
65	3726	303719
66	3795	304664
67	3856	304940
68	3908	304529
69	3958	303928
70	4016	304008
71	4070	303724
72	4124	303515
73	4178	303264
74	4226	302597
75	4289	303039
76	4338	302453
77	4389	302055
78	4448	302143
79	4511	302554
80	4572	302829
81	4624	302443
82	4682	302520
83	4740	302573
84	4800	302718
85	4860	302885
86	4914	302651
87	4971	302644
88	5025	302442
89	5083	302480
90	5152	303124
91	5209	303085
92	5267	303139
93	5324	303112
94	5399	304049
95	5460	304277
96	5524	304587
97	5585	304737
98	5654	305359
99	5706	304991
100	5762	304881
101	5815	304637
102	5879	304932
103	5948	305484
104	6011	305739
105	6079	306200
106	6147	306683
107	6211	306969
108	6289	307900
109	6359	308444
110	6420	308545
111	6471	308154
112	6527	308022
113	6597	308520
114	6670	309145
115	6728	309115
116	6796	309515
117	6866	309992
118	6938	310525
119	6996	310490
120	7055	310432
121	7118	310603
122	7177	310540
123	7234	310435
124	7298	310623
125	7353	310411
126	7421	310759
127	7492	311217
128	7554	311315
129	7623	311667
130	7693	312095
131	7759	312305
132	7839	313101
133	7896	312959
134	7964	313284
