iter	Logloss
0	0.6836094112
1	0.673952549
2	0.6643902406
3	0.655731224
4	0.6471396503
5	0.638047917
6	0.6293903487
7	0.6213105902
8	0.6134106218
9	0.6049578766
10	0.596299211
11	0.5890887735
12	0.5818080995
13	0.574195937
14	0.5664594607
15	0.5596326968
16	0.5523143852
17	0.5456357274
18	0.5391418686
19	0.5329626795
20	0.5268691766
21	0.5210907145
22	0.5157529001
23	0.5103522664
24	0.5051558758
25	0.5003591262
26	0.4945987569
27	0.4896278144
28	0.4847742753
29	0.4802294653
30	0.4753372789
31	0.4709105191
32	0.4665223314
33	0.4623560123
34	0.4583496391
35	0.4545152926
36	0.4499290727
37	0.4457621993
38	0.4417531367
39	0.437905808
40	0.4347214614
41	0.4309677396
42	0.4270892189
43	0.4238736619
44	0.4208234123
45	0.4178674029
46	0.4148141187
47	0.4120289804
48	0.4088064435
49	0.4059918685
50	0.4026528398
51	0.3999966713
52	0.3971424936
53	0.3940933592
54	0.3916131549
55	0.3889524216
56	0.3867126597
57	0.3844313278
58	0.3817005583
59	0.3793495272
60	0.3769855372
61	0.3748918209
62	0.3729464745
63	0.370800514
64	0.3688227481
65	0.3670118529
66	0.3651455575
67	0.3634137682
68	0.3613122843
69	0.3594481721
70	0.3576665694
71	0.3558052201
72	0.3542393771
73	0.3527545285
74	0.3512923466
75	0.3494175738
76	0.347792416
77	0.3460173258
78	0.3446577042
79	0.3430509798
80	0.3417430226
81	0.3405074863
82	0.3389413792
83	0.3377651986
84	0.3364016487
85	0.3351577867
86	0.3335593885
87	0.3325449512
88	0.3314327212
89	0.3299581669
90	0.3287099394
91	0.3276057371
92	0.3266405025
93	0.3255623198
94	0.3246638
95	0.3237492293
96	0.3225087165
97	0.3216226517
98	0.3203743492
99	0.3194821773
100	0.3186826455
101	0.3178193997
102	0.316962822
103	0.316151854
104	0.3153254697
105	0.3142469018
106	0.3134891025
107	0.3126022717
108	0.311953834
109	0.3112257978
110	0.310546593
111	0.3095772307
112	0.3089447372
113	0.3082730209
114	0.3075513544
115	0.3068703924
116	0.3060863404
117	0.30546724
118	0.3047721148
119	0.3040255086
120	0.3031619931
121	0.3025737944
122	0.302113134
123	0.3012715938
124	0.3007458826
125	0.3001990233
126	0.2996059044
127	0.2990672387
128	0.2984982832
129	0.297961504
130	0.2974444429
131	0.2969484843
132	0.2964111234
133	0.2959762197
134	0.2955745667
135	0.2947982924
136	0.2941098707
137	0.2937446196
138	0.2933399236
139	0.2929747091
140	0.2925726439
141	0.2921455086
142	0.2914979787
143	0.2910822936
144	0.290724009
145	0.290310533
146	0.2899385485
147	0.2895175908
148	0.2889476292
149	0.2886046592
150	0.2881379624
151	0.2876913798
152	0.2873721792
153	0.2870504738
154	0.2867028651
155	0.2863680728
156	0.2860735424
157	0.2858180946
158	0.2852982466
159	0.2848427414
160	0.284462234
161	0.2842042675
162	0.2839398921
163	0.2836872686
164	0.2834060044
165	0.2830212845
166	0.2827724442
167	0.2825003886
168	0.2822332348
169	0.2819984818
170	0.2816103299
171	0.2813626052
172	0.2809856187
173	0.2806889235
174	0.2803791072
175	0.2801508833
176	0.2799527274
177	0.2797443071
178	0.2794418223
179	0.279155227
180	0.2788315439
181	0.2786215883
182	0.2783057338
183	0.27803327
184	0.2777756322
185	0.2775252166
186	0.2773392893
187	0.277011087
188	0.2767277232
189	0.2765212188
190	0.2763373492
191	0.276168559
192	0.2759423102
193	0.2756399134
194	0.2754644003
195	0.2752847646
196	0.274976919
197	0.2747923374
198	0.2746460948
199	0.2744840097
200	0.2742485025
201	0.2740661347
202	0.2738991916
203	0.2736614814
204	0.2734713825
205	0.2732913933
206	0.2731482343
207	0.2729760711
208	0.2728401548
209	0.2727025366
210	0.2725182954
211	0.2723959029
212	0.2722394969
213	0.2720424238
214	0.2718752962
215	0.2717578854
216	0.2716064829
217	0.2713975997
