iter	Logloss
0	0.6824387617
1	0.6728949708
2	0.6639724546
3	0.6551237101
4	0.6462047556
5	0.6378785628
6	0.629408971
7	0.6209932446
8	0.6129003073
9	0.6043778932
10	0.5967383799
11	0.5895865597
12	0.5821889621
13	0.5755648365
14	0.5686624215
15	0.5622445479
16	0.5556773478
17	0.5488254547
18	0.5429734179
19	0.5364095603
20	0.5294763115
21	0.5238561415
22	0.5180444271
23	0.5117563511
24	0.5062529564
25	0.50103565
26	0.4958702735
27	0.4906289672
28	0.485790756
29	0.4812218394
30	0.4765777793
31	0.4723287076
32	0.4678326993
33	0.4636718563
34	0.4594657676
35	0.4555755629
36	0.4518159923
37	0.4474438895
38	0.4433664152
39	0.4393329919
40	0.4360408828
41	0.4324581911
42	0.4287898779
43	0.4252139354
44	0.4218998004
45	0.4188405898
46	0.4158388142
47	0.4128344822
48	0.4092901642
49	0.406549335
50	0.4035467472
51	0.4007025286
52	0.3977107259
53	0.3946125323
54	0.3922240018
55	0.3893611119
56	0.386671969
57	0.3842944741
58	0.3819260214
59	0.3796499794
60	0.3773744525
61	0.3750974583
62	0.3731256299
63	0.3709081169
64	0.3688758168
65	0.3671382644
66	0.3654884579
67	0.3635073938
68	0.3618693523
69	0.3598342395
70	0.3582199738
71	0.3565585589
72	0.3544624703
73	0.3525482058
74	0.3510661101
75	0.3495859774
76	0.348128796
77	0.3467664659
78	0.3452356564
79	0.3438903113
80	0.3424962014
81	0.3412800708
82	0.339606079
83	0.3383898979
84	0.3371432107
85	0.3356141947
86	0.3342327607
87	0.3329934573
88	0.3318803561
89	0.3308390393
90	0.3295504209
91	0.3284498918
92	0.3272556519
93	0.3261498874
94	0.324768875
95	0.3234827404
96	0.3224825796
97	0.3215493575
98	0.3202837825
99	0.3192769106
100	0.3182312959
101	0.3173766121
102	0.3161975497
103	0.3151614703
104	0.3144336346
105	0.3135091899
106	0.3124896263
107	0.3115667727
108	0.3105895107
109	0.3098978861
110	0.3092610723
111	0.3083560756
112	0.3074307692
113	0.3068003237
114	0.3061799307
115	0.3053773423
116	0.3047842244
117	0.3041161459
118	0.3034618433
119	0.3028468266
120	0.3022970621
121	0.3017390689
122	0.3010975722
123	0.3005761023
124	0.2997548902
125	0.2990032302
126	0.2982663507
127	0.2976589583
128	0.2972033691
129	0.2966571222
130	0.2961459907
131	0.2954832433
132	0.2949671752
133	0.2944557684
134	0.2939591325
135	0.2933912371
136	0.2929584802
137	0.2925376503
138	0.2919828684
139	0.291572677
140	0.2911911308
141	0.2907976447
142	0.2904338319
143	0.2900911246
144	0.2897304443
145	0.289398277
146	0.2890363645
147	0.2887135176
148	0.2882299866
149	0.287881403
150	0.2875778665
151	0.2872376647
152	0.2869055942
153	0.2865880218
154	0.2863063423
155	0.2860090326
156	0.2854973619
157	0.2851545411
158	0.28482371
159	0.2843137917
160	0.2839483547
161	0.2836494051
162	0.2831805639
163	0.2829266988
164	0.2825976281
165	0.2821930583
166	0.2818550401
167	0.2815757309
168	0.2813172815
169	0.2810414959
170	0.2807753584
171	0.2805760128
172	0.280225255
173	0.2798074812
174	0.2794535914
175	0.2792636537
176	0.2790529299
177	0.2787801537
178	0.2784685327
179	0.2781259304
180	0.2779383559
181	0.2777056473
182	0.2774940596
183	0.2771722807
184	0.2769104789
185	0.2766742759
186	0.2763791517
187	0.2762199384
188	0.2759679587
189	0.2757426729
190	0.275516424
191	0.2752745977
192	0.2750488079
193	0.2748266577
194	0.2746144756
195	0.2744448153
196	0.2742838173
197	0.2740832872
198	0.2738102935
199	0.2736574018
200	0.2734263984
201	0.2731591785
202	0.2729871829
203	0.2728180327
204	0.2726430838
205	0.2724709745
206	0.2723354074
207	0.2722221122
208	0.2720756711
209	0.2719558213
210	0.2718190844
211	0.2715857279
212	0.2714289005
213	0.2712464266
214	0.2711101332
215	0.2709564464
216	0.2708361589
217	0.2707231228
218	0.270568551
219	0.2703594937
220	0.2702266361
221	0.2701072489
222	0.2699393415
223	0.2698305374
224	0.2697310134
225	0.2695746582
226	0.2694559444
227	0.2693148549
228	0.269224441
229	0.2690855584
230	0.2689785137
231	0.2688748901
232	0.2687613741
233	0.2686573066
234	0.2684805528
235	0.2683931206
236	0.2682313678
237	0.2681439099
238	0.2680468374
239	0.2679355595
240	0.2678434569
241	0.2677615132
242	0.2676642169
243	0.2675802173
244	0.2674775719
245	0.2673970849
246	0.2672634309
247	0.2671800021
248	0.2670801127
249	0.2669929217
250	0.266866551
251	0.2667960465
252	0.2666867339
253	0.266595385
254	0.2665241274
255	0.266384886
256	0.2662323985
257	0.2661348355
258	0.2660599278
259	0.2659747833
260	0.2659063035
261	0.2658478418
262	0.265743742
263	0.2656542433
264	0.2655807682
265	0.265461468
266	0.2653739799
267	0.2652521616
268	0.2651846196
269	0.265085515
270	0.2650070391
271	0.2649428042
272	0.2648687447
273	0.264791626
274	0.2647066807
275	0.2646463319
276	0.264557502
277	0.2644121682
278	0.2643455558
279	0.2642853919
280	0.2642274834
281	0.2641610414
282	0.2641003333
283	0.2640316683
284	0.2639742079
285	0.2639166126
286	0.2638740407
287	0.2638145474
288	0.2637141457
289	0.2636538512
290	0.2635485853
291	0.2634817222
292	0.2634060301
293	0.2633200228
294	0.2632789878
295	0.2631738769
296	0.2630825507
297	0.2629974875
298	0.2629422274
299	0.2628696003
300	0.2628080657
301	0.2627218235
302	0.2626526302
303	0.2625986466
304	0.2625583123
305	0.2625001421
306	0.262449379
307	0.2623942064
308	0.2623391401
309	0.2622883119
310	0.2622305844
311	0.2621622287
312	0.2621108028
313	0.2620626929
314	0.2620193576
315	0.2619710867
316	0.2619284651
317	0.2618691231
318	0.26173342
319	0.2616947343
320	0.2616489727
321	0.2615122441
322	0.2614710636
323	0.2614056468
324	0.2613634949
325	0.2612672751
326	0.2611955256
327	0.2611383837
328	0.2610764835
329	0.2610275118
330	0.2609945966
331	0.2609587282
332	0.2609132816
333	0.2608455041
334	0.2607752011
335	0.2607299038
336	0.2606806584
337	0.2606421076
338	0.2605950848
339	0.2605566152
340	0.2605071993
341	0.2604725796
342	0.2604168895
343	0.2603767536
344	0.2603339946
345	0.2602954197
346	0.260214904
347	0.2601556786
348	0.2601049565
349	0.2600557142
350	0.2600135917
351	0.2599446716
352	0.2598516503
353	0.2598095192
354	0.2597412726
355	0.259684589
356	0.2596235928
357	0.2595714795
358	0.2594962894
359	0.2594287615
360	0.2593736661
361	0.2593459606
362	0.2593084759
363	0.2592522462
364	0.2592060125
365	0.2591556368
366	0.2591049119
367	0.2590773386
368	0.2590455181
369	0.2590105694
370	0.2589700185
371	0.2589425675
372	0.2589155046
373	0.2588898458
374	0.2588086677
375	0.2587771399
376	0.2587407984
377	0.2586707454
378	0.2586110056
379	0.2585716088
380	0.2585245884
381	0.2584899278
382	0.2584362081
383	0.2583687995
384	0.2583422154
385	0.2583047771
386	0.2582698577
387	0.2582097508
388	0.2581496953
389	0.2581222591
390	0.2580913
391	0.258064337
392	0.2579974392
393	0.2579579848
394	0.2579302812
395	0.2578801202
396	0.2578221295
397	0.2577878358
398	0.2577656458
399	0.2577327905
400	0.2577084127
401	0.2576819186
402	0.2576531945
403	0.2576105297
404	0.2575796979
405	0.2575496875
406	0.2574928953
407	0.2574616439
408	0.2574167903
409	0.257387668
410	0.2573516373
411	0.257319379
412	0.2572769378
413	0.2572556005
414	0.2572223509
415	0.2571790906
416	0.2571428628
417	0.2571150245
418	0.2570932668
419	0.2570766004
420	0.2570407444
421	0.2569879241
422	0.256946532
423	0.2568934911
424	0.2568679694
425	0.2568418352
426	0.2568169042
427	0.2567967526
428	0.2567714138
429	0.2567333035
430	0.2566765094
431	0.2566249445
432	0.2565934461
433	0.2565629756
434	0.2565444578
435	0.2565246927
436	0.2565016011
437	0.2564839443
438	0.2564538943
439	0.2564281289
440	0.2563943348
441	0.2563754259
442	0.2563495101
443	0.2563172933
444	0.2562899539
445	0.2562732664
446	0.2562569638
447	0.2562406484
448	0.2562102298
449	0.2561925491
450	0.2561693869
451	0.2561472681
452	0.256096068
453	0.256072969
454	0.2560420014
455	0.2560237425
456	0.2559937501
457	0.2559332326
458	0.2559173212
459	0.2558867035
460	0.2558648482
461	0.2558421013
462	0.2558088252
463	0.2557815194
464	0.2557539078
465	0.2557325214
466	0.2557133907
467	0.2556557812
468	0.2556168221
469	0.2555934783
470	0.2555622503
471	0.2555385123
472	0.2555125477
473	0.2554916078
474	0.2554597196
475	0.2554391601
476	0.2554099485
477	0.2553499358
478	0.2553189625
479	0.2552962088
480	0.2552781705
481	0.2552607924
482	0.2552413074
483	0.2552100155
484	0.2551776894
485	0.2551601648
486	0.2551416559
487	0.2550986869
488	0.2550626325
489	0.2550402801
490	0.2550214535
491	0.254998468
492	0.2549841862
493	0.2549682305
494	0.2549450046
495	0.2549199569
496	0.2548971527
497	0.2548697424
498	0.2548515084
499	0.2548335166
500	0.2548138681
501	0.254784813
502	0.2547418857
503	0.2547224865
504	0.2547070745
505	0.2546824118
506	0.2546670444
507	0.2546445662
508	0.2546229547
509	0.2545925247
510	0.254556558
511	0.2545375008
512	0.2545244266
513	0.2545099385
514	0.2544828056
515	0.2544652796
516	0.2544455195
517	0.2544272135
518	0.2543997945
519	0.2543557368
520	0.2543425685
521	0.254330974
522	0.254319283
523	0.2542982017
524	0.2542863746
525	0.2542689673
526	0.2542535066
527	0.2542433659
528	0.2542243796
529	0.2541986095
530	0.254180271
531	0.2541631227
532	0.2541473846
533	0.2541311131
534	0.2541188848
535	0.2541004485
536	0.2540782362
537	0.2540588096
538	0.2540409521
539	0.2540268559
540	0.2539999742
541	0.2539833365
542	0.2539679364
543	0.2539456942
544	0.2539322126
545	0.2538905587
546	0.2538744788
547	0.2538435262
548	0.253836032
549	0.2538179011
550	0.2537920454
551	0.2537772508
552	0.2537654257
553	0.2537463118
554	0.2537294492
555	0.2537157484
556	0.2537025634
557	0.2536631486
558	0.2536288658
559	0.2536142019
560	0.2535981912
561	0.2535717408
562	0.2535632073
563	0.2535490388
564	0.2535433286
565	0.2535260217
566	0.2534984491
567	0.2534841695
568	0.253477434
569	0.2534624288
570	0.2534357178
571	0.2534256594
572	0.2534179425
573	0.2533982017
574	0.2533811777
575	0.2533720522
576	0.2533611951
577	0.2533359217
578	0.253293609
579	0.2532773701
580	0.253256479
581	0.2532475314
582	0.2532139816
583	0.2531953758
584	0.2531828756
585	0.2531672001
586	0.2531531308
587	0.2531323036
588	0.253100198
589	0.2530870546
590	0.2530591148
591	0.2530312996
592	0.2530143858
593	0.2530072802
594	0.2529962619
595	0.2529709309
596	0.2529547585
597	0.2529449464
598	0.2529040169
599	0.252882804
600	0.252867598
601	0.2528234981
602	0.2528047249
603	0.2527919413
604	0.252779234
605	0.2527629058
606	0.2527542498
607	0.2527246913
608	0.2527023346
609	0.252690935
610	0.252674243
611	0.2526653214
612	0.2526474867
613	0.2526418367
614	0.2526238337
615	0.2526144959
616	0.2525472611
617	0.2525332715
618	0.2525103807
619	0.2525001814
620	0.2524779697
621	0.2524570416
622	0.2524441161
623	0.2524242096
624	0.2524083786
625	0.2524016746
626	0.2523910437
627	0.2523820608
628	0.2523518538
629	0.2523421951
630	0.2523187429
631	0.2523082382
632	0.25229391
633	0.2522574603
634	0.2522371735
635	0.2522305001
636	0.2522163895
637	0.2522025025
638	0.2521912791
639	0.2521808131
640	0.2521554753
641	0.2521360537
642	0.2521210349
643	0.2521067623
644	0.2520936729
645	0.2520790009
646	0.2520630403
647	0.2520449244
648	0.2520251801
649	0.2520081451
650	0.2520007862
651	0.2519901964
652	0.251982158
653	0.2519748826
654	0.2519598289
655	0.2519438019
656	0.2519327624
657	0.2519244161
658	0.2519040817
659	0.2518910818
660	0.2518744261
661	0.2518423104
662	0.2518265447
663	0.2517970337
664	0.2517816026
665	0.2517706262
666	0.2517554919
667	0.2517311796
668	0.2516994447
669	0.2516732335
670	0.2516617558
671	0.2516556693
672	0.2516340185
673	0.2516148765
674	0.2516044588
675	0.2515884591
