iter	Logloss
0	0.6832410564
1	0.6740665806
2	0.6645223836
3	0.6555406017
4	0.6468299054
5	0.6382150741
6	0.6290889913
7	0.6202541809
8	0.612002874
9	0.6042023918
10	0.5961616092
11	0.5887965885
12	0.5815157195
13	0.5743119993
14	0.5677144413
15	0.5604087193
16	0.5536050276
17	0.5469772363
18	0.5403864354
19	0.5346733628
20	0.5289862933
21	0.5236315183
22	0.5182774264
23	0.5119295846
24	0.5059843513
25	0.5009669206
26	0.4959625684
27	0.4909315413
28	0.4857270327
29	0.4810529251
30	0.4761318586
31	0.4716551729
32	0.4671618147
33	0.4631312597
34	0.458633589
35	0.4546329654
36	0.4507701105
37	0.4465050894
38	0.4429285865
39	0.4391162003
40	0.4354642937
41	0.4314790148
42	0.4281919884
43	0.4250689244
44	0.4220421503
45	0.4189002425
46	0.4158886249
47	0.4123928815
48	0.4096533642
49	0.4063825507
50	0.4038112018
51	0.401103192
52	0.3982525799
53	0.3950399241
54	0.3926145966
55	0.3902951447
56	0.3879081497
57	0.385447932
58	0.3832438581
59	0.3811016374
60	0.379058955
61	0.3767518178
62	0.3747795117
63	0.3728836326
64	0.3708758391
65	0.3688270387
66	0.3671969237
67	0.3654176409
68	0.3637053043
69	0.3619313388
70	0.359820796
71	0.3581563465
72	0.3561505772
73	0.3545445292
74	0.352998624
75	0.3511043876
76	0.3495463219
77	0.3477445073
78	0.3463618842
79	0.3450172031
80	0.3435238254
81	0.3417824831
82	0.3400731351
83	0.338607592
84	0.3371282769
85	0.3359471644
86	0.3347640697
87	0.3333508909
88	0.3322381442
89	0.3310751203
90	0.3301515224
91	0.3291044061
92	0.3279682747
93	0.326932398
94	0.3260061115
95	0.3250063619
96	0.3240411697
97	0.3230148126
98	0.321950588
99	0.3210886453
100	0.3201549459
101	0.3188673664
102	0.317627944
103	0.3166600568
104	0.3158844916
105	0.3149405307
106	0.3142140394
107	0.3132067125
108	0.3124314402
109	0.3116676817
110	0.310822327
111	0.3101130363
112	0.3093971501
113	0.3086462074
114	0.3076349854
115	0.3067822268
116	0.3060568258
117	0.305341926
118	0.3047635621
119	0.3041851181
120	0.3034097359
121	0.3025350657
122	0.3020142425
123	0.3014613383
124	0.3010174473
125	0.3004949493
126	0.2997211634
127	0.2990666968
128	0.2983427463
129	0.2976710401
130	0.2969355164
131	0.2963537692
132	0.2958930757
133	0.2954246388
134	0.2950041095
135	0.2945747085
136	0.2941505324
137	0.2936782612
138	0.2932148218
139	0.2925686233
140	0.2920508983
141	0.2916768467
142	0.2912193797
143	0.2908099618
144	0.2903939482
145	0.2900356117
146	0.2897114695
147	0.2892700282
148	0.288925381
149	0.2884042983
150	0.288061946
151	0.2875585187
152	0.2872043232
153	0.2868774126
154	0.2864608232
155	0.2859923066
156	0.285528266
157	0.2850709512
158	0.2847817611
159	0.2844308687
160	0.2839823369
161	0.2837043315
162	0.2833961083
163	0.2831262631
164	0.2828257985
165	0.2825744638
166	0.2823310593
167	0.282079788
168	0.281643512
169	0.2812855795
170	0.280852386
171	0.2806042863
172	0.2803544143
173	0.2801819541
174	0.279938163
175	0.2797329527
176	0.2793125182
177	0.279089601
178	0.2788061556
179	0.2784038719
180	0.2781855818
181	0.2780229258
182	0.2778101806
183	0.2775549798
184	0.2773622761
185	0.2771865725
186	0.2769650368
187	0.276706031
188	0.276438658
189	0.2762286603
190	0.2759265795
191	0.2756392232
192	0.2754276846
193	0.2752569094
194	0.2751174206
195	0.2748877679
196	0.274742932
197	0.274469892
198	0.2741898805
199	0.2740483721
200	0.2738555459
201	0.2736249978
202	0.2734752242
203	0.2733014083
204	0.2730859439
205	0.2728518393
206	0.2727124055
207	0.272528877
208	0.2723073381
209	0.2721675745
210	0.2719773283
211	0.2718367098
212	0.2717095389
213	0.2715477607
214	0.2713961469
215	0.2712694989
216	0.2710733987
217	0.2709572791
218	0.2708211931
219	0.2707162337
220	0.2705849961
221	0.2703947111
222	0.270242996
223	0.2701231843
224	0.2699175527
225	0.2698142282
226	0.2696523237
227	0.2695490045
228	0.2694405028
229	0.2693155446
230	0.269135759
231	0.2690479713
232	0.2689122374
233	0.2687045285
234	0.2686067932
235	0.2684768221
236	0.2683737945
237	0.2682591169
238	0.2680501219
239	0.2679667832
240	0.2678490595
241	0.267755785
242	0.267632489
243	0.2675285747
244	0.2674116099
245	0.2672956177
246	0.2671600276
247	0.2670693794
248	0.2669855863
249	0.2669010917
250	0.2667555679
251	0.266543866
252	0.2664524348
253	0.2663636443
254	0.2662484123
255	0.2661546808
256	0.2660678698
257	0.2659969546
258	0.26592238
259	0.2658246293
260	0.2657489313
261	0.2656105316
262	0.2655333593
263	0.265477879
264	0.2653966898
265	0.2652739657
266	0.2651866027
267	0.265082093
268	0.2650165392
269	0.2649010644
270	0.2648368552
271	0.2647716079
272	0.2646977218
273	0.264578804
274	0.2644922844
275	0.264394286
276	0.2643372086
277	0.2642571745
278	0.2642082213
279	0.2640868544
280	0.2640224409
281	0.2639429004
282	0.2638851608
283	0.2637910665
284	0.2637166877
285	0.2636334933
286	0.2635598552
287	0.2634508445
288	0.2633802565
289	0.2633070568
290	0.2632505304
291	0.2631939631
