iter	Passed	Remaining
0	72	395175
1	138	376594
2	198	359830
3	257	350866
4	311	338381
5	369	334501
6	422	327959
7	478	325467
8	532	321675
9	587	319193
10	644	318409
11	702	317865
12	761	318198
13	814	316130
14	871	315394
15	926	314510
16	983	313951
17	1033	311748
18	1091	311835
19	1154	313047
20	1209	312492
21	1263	311557
22	1322	311824
23	1380	311743
24	1431	310285
25	1481	308869
26	1541	309320
27	1586	306980
28	1652	308531
29	1700	306959
30	1755	306609
31	1805	305442
32	1859	305037
33	1918	305344
34	1965	303774
35	2012	302348
36	2069	302471
37	2121	301878
38	2178	301996
39	2230	301415
40	2286	301398
41	2336	300569
42	2385	299729
43	2439	299472
44	2486	298338
45	2541	298313
46	2591	297647
47	2636	296440
48	2690	296321
49	2742	295924
50	2798	295944
51	2850	295602
52	2905	295565
53	2961	295613
54	3017	295737
55	3077	296139
56	3127	295588
57	3180	295423
58	3229	294847
59	3285	294893
60	3342	294978
61	3393	294628
62	3450	294740
63	3495	293913
64	3548	293733
65	3613	294503
66	3661	293864
67	3722	294321
68	3784	294831
69	3851	295760
70	3909	295877
71	3971	296394
72	4034	296911
73	4094	297174
74	4146	296922
75	4201	296792
76	4256	296731
77	4321	297377
78	4378	297422
79	4430	297142
80	4485	297053
81	4535	296628
82	4594	296830
83	4653	296994
84	4706	296762
85	4765	296961
86	4821	296940
87	4886	297448
88	4944	297541
89	4996	297318
90	5059	297661
91	5110	297373
92	5164	297189
93	5235	298056
94	5287	297758
95	5342	297666
96	5404	297993
97	5465	298191
98	5524	298348
99	5591	298876
100	5639	298376
101	5702	298714
102	5763	298936
103	5827	299291
104	5881	299112
105	5944	299393
106	5996	299141
107	6053	299141
108	6116	299420
109	6167	299146
110	6230	299408
111	6294	299719
112	6352	299765
113	6418	300152
114	6471	299917
115	6527	299867
116	6588	300014
117	6652	300337
118	6723	300898
119	6775	300640
120	6837	300831
121	6885	300432
122	6949	300678
123	7012	300904
124	7083	301461
125	7152	301937
