iter	Logloss
0	0.6835404142
1	0.6733678116
2	0.664019507
3	0.654727509
4	0.6459607251
5	0.6373364486
6	0.628966674
7	0.6204565003
8	0.6120197473
9	0.6041210439
10	0.5965270385
11	0.5889742001
12	0.5815546035
13	0.573887468
14	0.5668997663
15	0.5604889199
16	0.5531100275
17	0.5468550172
18	0.5407786033
19	0.5348326407
20	0.5288380629
21	0.5230215915
22	0.5174973958
23	0.5120953041
24	0.5065446523
25	0.5007143673
26	0.4951339805
27	0.4904249654
28	0.4857123801
29	0.4811189321
30	0.4764156179
31	0.4713471338
32	0.4667194245
33	0.4624206906
34	0.4583766988
35	0.4544380727
36	0.4502935905
37	0.4464940891
38	0.4422146414
39	0.4380695373
40	0.4341446634
41	0.430543319
42	0.4272944102
43	0.4240211835
44	0.420885978
45	0.4173618152
46	0.4137237106
47	0.4108084777
48	0.4081023181
49	0.4050173397
50	0.4018797515
51	0.3992547881
52	0.3968531555
53	0.3937775527
54	0.3914695792
55	0.3885591739
56	0.3862508064
57	0.3837040307
58	0.3815616094
59	0.3793468227
60	0.3772399457
61	0.3751822988
62	0.3728128619
63	0.3705078829
64	0.3682596013
65	0.3664894488
66	0.364586328
67	0.362336027
68	0.3605348691
69	0.3589549577
70	0.3573459102
71	0.3553901354
72	0.3537722841
73	0.3518569359
74	0.3500571735
75	0.3483466511
76	0.346563315
77	0.3452269328
78	0.3437980214
79	0.342425202
80	0.3411976339
81	0.3397951257
82	0.3381705098
83	0.3369602219
84	0.3356982686
85	0.3345824051
86	0.3330932259
87	0.3320716275
88	0.3306111823
89	0.3294687779
90	0.3283216626
91	0.3268551761
92	0.3256709768
93	0.3247074921
94	0.3233902122
95	0.3223336016
96	0.3214749311
97	0.3203608237
98	0.3194711702
99	0.318593453
100	0.3177167872
101	0.3167030015
102	0.3159020017
103	0.315158886
104	0.314310348
105	0.3134622109
106	0.3127044046
107	0.3119440208
108	0.3111304198
109	0.3104006389
110	0.309677429
111	0.3089522043
112	0.3083239012
113	0.3073923183
114	0.306617991
115	0.305973836
116	0.3050503684
117	0.3041540568
118	0.3032549793
119	0.3027284723
120	0.3020626487
121	0.3013471603
122	0.3007269051
123	0.3001017697
124	0.2994943131
125	0.2989520905
126	0.2984358081
127	0.2978663837
128	0.297377448
129	0.2966828233
130	0.2961869206
131	0.2956740307
132	0.2952370885
133	0.2947061279
134	0.2942403005
135	0.2938109318
136	0.2933839312
137	0.2929560394
138	0.2925519477
139	0.2919020831
140	0.2913857889
141	0.2909722905
142	0.2905227265
143	0.2900623014
144	0.2894783867
145	0.2889040882
146	0.2885604493
147	0.2881498355
148	0.2878216814
149	0.2873261665
150	0.2868898798
151	0.2865698149
152	0.2863304168
153	0.2858945042
154	0.2855398346
155	0.2852116488
156	0.2847358511
157	0.2844596042
158	0.2839390403
159	0.2835540041
160	0.2832658465
161	0.2829925229
162	0.2826520849
163	0.2823384495
164	0.2819551905
165	0.2815897283
166	0.2813342937
167	0.2808972501
168	0.280487648
169	0.280224255
170	0.2799783602
171	0.2796470541
172	0.2794208271
173	0.2791995343
174	0.2788176944
175	0.2785292578
176	0.2782444301
177	0.2780561487
178	0.2778494747
179	0.2776295771
180	0.2773405313
181	0.2771573019
182	0.2769968338
183	0.2767818874
184	0.2765250847
185	0.2763553036
186	0.2760838179
187	0.2759021337
188	0.2757102658
189	0.2754440554
190	0.2752519243
191	0.2751150715
192	0.2749458842
193	0.2747626543
194	0.2746075253
195	0.2744345228
196	0.2741721111
197	0.2740042769
198	0.2737730516
199	0.2735036047
200	0.273318798
201	0.2731763733
202	0.2730500805
203	0.2729151197
204	0.2727325075
205	0.2725941274
206	0.2723903488
207	0.2721712148
208	0.2719678325
209	0.2718573863
210	0.271720228
211	0.2715043367
212	0.2713445698
213	0.2712243029
214	0.2710587424
215	0.2708832247
216	0.2707544573
217	0.270546635
218	0.27043331
219	0.2702755231
220	0.2701883442
221	0.2700703785
222	0.269961424
223	0.269865508
224	0.2697243978
225	0.2696334227
226	0.2694548404
227	0.2692951032
228	0.2691898258
229	0.2690392726
230	0.2688217924
231	0.2686257689
232	0.2684993027
233	0.2683803932
234	0.268248284
235	0.2681640143
236	0.2680658154
237	0.2678865141
238	0.2677501946
239	0.2676441192
240	0.267532758
241	0.2674261853
242	0.2672713707
243	0.2671810288
244	0.2670973368
245	0.2669574994
246	0.2668721346
247	0.266720427
248	0.2666469451
249	0.2665035896
250	0.2663752669
251	0.2662940539
252	0.2662064065
253	0.2661002773
254	0.2660149854
255	0.2659253762
256	0.2658296818
257	0.2657226944
258	0.2656437301
259	0.2655503375
260	0.2653936354
261	0.2652904418
262	0.2652217317
263	0.2651216674
264	0.2650433062
265	0.2649734509
266	0.264854404
267	0.2647787197
268	0.2647029376
269	0.2646275049
270	0.2645234669
271	0.2644440668
272	0.2643752106
273	0.2643019695
274	0.2642147313
275	0.2641513158
276	0.2640811844
277	0.2640248613
278	0.2639281615
279	0.2638496074
280	0.2637863995
281	0.2636971194
282	0.2636123761
283	0.2635380831
284	0.2634719008
285	0.2634061849
286	0.2633435302
287	0.2632542896
288	0.2631842785
289	0.2631245524
290	0.2630446051
291	0.2629953524
292	0.2628895779
293	0.262839609
294	0.2627646863
295	0.2627087305
296	0.2626600143
297	0.2625823429
298	0.2625249449
299	0.2624735961
300	0.2624064406
301	0.2623543847
302	0.2623123953
303	0.2622323841
304	0.2621701503
305	0.2621098711
306	0.2620631198
307	0.2620230311
308	0.261925997
309	0.2618446653
310	0.2617808092
311	0.2617229077
312	0.2616753692
313	0.2616215943
314	0.2615754148
315	0.2615174493
316	0.2614422469
317	0.2613936578
318	0.2613451755
319	0.2612639813
320	0.261189747
321	0.261096894
322	0.2610583105
323	0.2610161769
324	0.2609599289
325	0.2609076499
326	0.2608579181
327	0.2607895459
328	0.2607536134
329	0.2607008302
330	0.2606442675
331	0.2605847729
332	0.2605510226
