iter	Passed	Remaining
0	70	381791
1	134	364743
2	192	350020
3	247	336678
4	302	329616
5	351	318236
6	415	322852
7	476	323594
8	529	319594
9	585	318384
10	642	317517
11	695	314897
12	755	315592
13	812	315161
14	862	312061
15	914	310297
16	1003	320329
17	1056	318403
18	1108	316462
19	1163	315716
20	1225	316640
21	1284	316692
22	1335	314937
23	1391	314389
24	1447	313889
25	1505	313878
26	1560	313207
27	1611	311860
28	1665	311104
29	1720	310460
30	1773	309793
31	1826	308905
32	1883	308870
33	1936	308225
34	1993	308072
35	2045	307316
36	2102	307291
37	2150	306055
38	2212	306653
39	2267	306416
40	2316	305372
41	2365	304353
42	2422	304306
43	2473	303642
44	2525	303104
45	2581	303032
46	2636	302824
47	2690	302531
48	2740	301811
49	2790	301136
50	2847	301192
51	2902	301026
52	2955	300728
53	3010	300546
54	3064	300327
55	3120	300296
56	3172	299862
57	3223	299355
58	3276	299101
59	3337	299583
60	3390	299295
61	3438	298530
62	3496	298708
63	3549	298470
64	3611	298915
65	3659	298257
66	3711	297901
67	3773	298401
68	3827	298202
69	3887	298478
70	3940	298274
71	4003	298797
72	4055	298455
73	4113	298551
74	4171	298708
75	4227	298667
76	4291	299197
77	4346	299045
78	4392	298347
79	4451	298533
80	4505	298342
81	4558	298167
82	4617	298304
83	4666	297817
84	4719	297575
85	4770	297239
86	4831	297577
87	4882	297235
88	4940	297297
89	4999	297449
90	5053	297323
91	5113	297555
92	5166	297348
93	5217	297004
94	5269	296761
95	5331	297088
96	5379	296584
97	5440	296821
98	5492	296585
99	5557	297057
100	5618	297274
101	5681	297631
102	5742	297841
103	5795	297639
104	5849	297472
105	5912	297806
106	5981	298428
107	6037	298332
108	6100	298663
109	6160	298783
110	6213	298604
111	6276	298874
112	6335	298954
113	6394	299027
114	6454	299140
115	6521	299575
116	6585	299883
117	6658	300578
118	6736	301489
119	6796	301587
120	6860	301861
121	6919	301887
122	6978	301944
123	7042	302196
124	7101	302232
125	7161	302324
126	7226	302603
127	7287	302727
128	7343	302622
129	7415	303183
130	7477	303338
131	7543	303645
132	7603	303683
133	7671	304066
134	7721	303721
135	7785	303911
136	7839	303741
137	7902	303897
138	7964	304041
139	8038	304591
140	8102	304777
141	8170	305121
142	8227	305042
143	8281	304867
144	8345	305024
145	8407	305161
146	8480	305633
147	8550	306027
148	8606	305908
149	8670	306052
150	8740	306448
151	8793	306224
152	8841	305827
153	8905	305982
154	8974	306305
155	9036	306364
156	9096	306377
157	9159	306499
158	9232	306944
159	9293	306983
160	9359	307166
161	9409	306860
162	9471	306909
163	9536	307078
164	9601	307234
165	9667	307424
166	9733	307628
167	9799	307803
168	9869	308126
169	9940	308449
170	10006	308630
171	10076	308914
172	10140	309033
173	10213	309384
174	10283	309687
175	10347	309791
176	10416	310036
177	10476	309991
178	10541	310133
179	10613	310434
180	10678	310550
181	10740	310599
182	10807	310750
183	10871	310839
184	10940	311052
185	11003	311106
186	11071	311308
187	11130	311237
188	11202	311525
189	11274	311832
190	11333	311768
191	11386	311514
192	11454	311708
193	11518	311783
194	11582	311846
195	11647	311924
196	11718	312188
197	11791	312482
198	11865	312786
199	11936	313035
200	12009	313324
201	12075	313421
202	12140	313490
203	12205	313584
204	12268	313595
205	12331	313608
206	12397	313711
207	12465	313853
208	12540	314183
209	12605	314248
210	12677	314477
211	12749	314696
212	12815	314797
213	12874	314710
214	12939	314755
215	13002	314767
