iter	Passed	Remaining
0	67	366851
1	126	344433
2	185	337231
3	238	323984
4	296	322139
5	350	317415
6	416	323536
7	473	321855
8	521	314991
9	574	311998
10	627	309877
11	672	304663
12	728	304414
13	780	302861
14	835	302467
15	889	301864
16	946	302127
17	1002	302374
18	1057	301859
19	1113	302148
20	1172	302758
21	1223	301608
22	1282	302265
23	1339	302461
24	1389	301262
25	1439	300017
26	1493	299692
27	1549	299761
28	1607	300292
29	1660	299697
30	1711	298935
31	1756	297089
32	1814	297530
33	1866	296997
34	1912	295661
35	1960	294493
36	2016	294787
37	2075	295346
38	2125	294616
39	2182	294900
40	2241	295429
41	2301	296121
42	2350	295293
43	2405	295286
44	2458	294982
45	2515	295245
46	2571	295351
47	2623	294948
48	2681	295330
49	2732	294830
50	2796	295818
51	2851	295703
52	2900	295103
53	2955	295016
54	3002	294248
55	3050	293590
56	3105	293580
57	3154	292952
58	3213	293338
59	3268	293343
60	3328	293779
61	3385	293934
62	3435	293457
63	3490	293504
64	3541	293155
65	3596	293105
66	3649	292959
67	3703	292860
68	3750	292183
69	3795	291465
70	3854	291743
71	3899	291027
72	3955	291078
73	4005	290723
74	4057	290525
75	4120	291061
76	4174	291040
77	4228	290982
78	4294	291709
79	4362	292530
80	4414	292312
81	4475	292711
82	4536	293077
83	4595	293310
84	4651	293312
85	4710	293538
86	4777	294249
87	4823	293617
88	4879	293625
89	4932	293509
90	4985	293304
91	5035	292997
92	5093	293116
93	5157	293597
94	5218	293864
95	5281	294303
96	5338	294354
97	5398	294570
98	5467	295255
99	5522	295167
100	5589	295725
101	5641	295519
102	5699	295574
103	5756	295651
104	5824	296220
105	5888	296583
106	5938	296282
107	5991	296064
108	6049	296148
109	6112	296476
110	6179	296951
111	6226	296489
112	6299	297242
113	6350	296984
114	6412	297192
115	6473	297395
116	6537	297701
117	6588	297431
118	6645	297408
119	6692	296967
120	6752	297118
121	6824	297749
122	6893	298282
123	6953	298374
124	7014	298535
125	7075	298669
126	7138	298932
127	7207	299377
128	7259	299142
