iter	Passed	Remaining
0	63	347061
1	134	366191
2	193	351061
3	243	331858
4	303	330278
5	359	326047
6	416	323198
7	473	322083
8	527	318498
9	583	316992
10	645	318870
11	701	317455
12	770	321755
13	843	327083
14	905	327919
15	964	327383
16	1020	325979
17	1080	325873
18	1143	326621
19	1212	328884
20	1262	326196
21	1333	328766
22	1389	327589
23	1455	328809
24	1507	326828
25	1558	324795
26	1617	324640
27	1673	323726
28	1731	323345
29	1776	320742
30	1829	319498
31	1884	318705
32	1936	317574
33	1994	317363
34	2050	317007
35	2107	316678
36	2164	316374
37	2213	314951
38	2265	313993
39	2320	313584
40	2371	312622
41	2421	311517
42	2470	310352
43	2522	309677
44	2580	309610
45	2622	307851
46	2679	307764
47	2730	307065
48	2784	306615
49	2841	306623
50	2887	305344
51	2945	305455
52	2996	304896
53	3051	304655
54	3100	303877
55	3151	303303
56	3203	302848
57	3254	302277
58	3308	302019
59	3357	301305
60	3407	300773
61	3467	301070
62	3523	300984
63	3575	300616
64	3622	299794
65	3667	298876
66	3717	298367
67	3767	297944
68	3823	297890
69	3875	297555
70	3923	296995
71	3974	296628
72	4029	296558
73	4080	296172
74	4141	296514
75	4203	296933
76	4256	296706
77	4306	296299
78	4354	295777
79	4409	295744
80	4475	296385
81	4530	296299
82	4588	296427
83	4641	296255
84	4699	296373
85	4756	296422
86	4818	296759
87	4882	297234
88	4953	298126
89	5006	297892
90	5072	298432
91	5131	298590
92	5198	299151
93	5255	299183
94	5313	299208
95	5372	299362
96	5419	298797
97	5468	298372
98	5535	298897
99	5587	298664
100	5648	298878
101	5696	298399
102	5748	298143
103	5816	298690
104	5880	299086
105	5943	299359
106	6002	299446
107	6072	300095
108	6126	299931
109	6187	300103
110	6251	300394
111	6313	300635
112	6376	300879
113	6441	301208
114	6499	301256
115	6559	301344
116	6618	301399
117	6683	301714
118	6743	301794
119	6808	302114
120	6865	302098
121	6926	302217
122	6990	302486
123	7062	303040
124	7122	303150
125	7189	303489
126	7258	303947
127	7330	304507
128	7387	304424
129	7458	304926
130	7521	305090
131	7586	305350
132	7648	305468
133	7720	305977
134	7788	306337
135	7848	306370
136	7909	306437
137	7972	306575
138	8039	306896
139	8101	306985
140	8156	306836
141	8224	307129
142	8301	307802
143	8359	307723
144	8420	307772
145	8487	308050
146	8555	308354
147	8618	308464
148	8684	308680
149	8752	308946
150	8817	309143
151	8883	309352
152	8946	309429
153	9013	309681
154	9078	309825
155	9151	310256
156	9209	310206
157	9271	310245
158	9334	310318
159	9402	310564
160	9468	310745
161	9535	310952
162	9603	311200
163	9669	311382
164	9743	311781
165	9814	312100
166	9874	312076
167	9941	312269
168	10011	312537
169	10081	312808
170	10147	312971
171	10205	312864
172	10268	312920
173	10329	312925
174	10397	313127
175	10461	313185
176	10522	313164
177	10592	313432
178	10659	313581
179	10728	313795
180	10797	314019
181	10855	313917
182	10925	314146
183	10987	314152
184	11057	314381
185	11132	314749
186	11205	315058
187	11278	315372
188	11337	315302
189	11406	315493
190	11477	315732
191	11545	315880
192	11616	316103
193	11681	316175
194	11757	316540
195	11822	316616
196	11895	316903
197	11963	317028
198	12039	317385
199	12113	317670
200	12188	317986
201	12254	318069
202	12318	318104
203	12380	318077
204	12448	318184
205	12520	318410
206	12586	318501
207	12657	318696
208	12725	318796
209	12791	318873
210	12859	318980
211	12922	318988
212	12990	319100
213	13061	319275
214	13126	319318
215	13196	319463
216	13270	319718
217	13335	319744
218	13405	319896
219	13473	320005
220	13533	319896
221	13602	320022
222	13677	320281
223	13743	320341
224	13807	320336
225	13869	320289
226	13930	320210
227	13997	320284
228	14056	320165
229	14124	320253
230	14183	320145
231	14246	320116
232	14307	320039
233	14381	320254
234	14444	320234
235	14521	320519
236	14586	320533
237	14654	320605
238	14720	320655
239	14788	320716
240	14847	320603
241	14919	320773
242	14998	321085
243	15067	321178
244	15135	321236
245	15202	321288
246	15265	321253
247	15338	321428
248	15410	321574
249	15478	321634
