iter	Logloss
0	0.6824995779
1	0.6724396368
2	0.6624927784
3	0.6536578704
4	0.645118992
5	0.6368801509
6	0.6285672817
7	0.6208445435
8	0.6125923135
9	0.6047372009
10	0.5963566417
11	0.5888540802
12	0.5816456815
13	0.5744931145
14	0.5677617244
15	0.5614514977
16	0.5541889942
17	0.5477463976
18	0.5408870407
19	0.5346523315
20	0.5285970816
21	0.5227775288
22	0.5171155668
23	0.5111527028
24	0.5050757587
25	0.4994066291
26	0.494523584
27	0.4895883425
28	0.4843144523
29	0.4797478011
30	0.475101661
31	0.4702445932
32	0.465784299
33	0.4614227939
34	0.4572474421
35	0.4529818394
36	0.4490066999
37	0.4452232484
38	0.4413002404
39	0.4371001367
40	0.4336386403
41	0.4297794665
42	0.426389721
43	0.4234139903
44	0.4197625607
45	0.416459497
46	0.4134569287
47	0.410533408
48	0.4074747193
49	0.4045898779
50	0.4019523736
51	0.3994761313
52	0.3966350932
53	0.3941048083
54	0.3910564422
55	0.3887375435
56	0.3865172112
57	0.3841728916
58	0.3820775355
59	0.379982789
60	0.3776772127
61	0.3753584403
62	0.3734062003
63	0.3709666873
64	0.3687812313
65	0.3670704151
66	0.3646898101
67	0.362889739
68	0.3606132366
69	0.3588955357
70	0.3569369153
71	0.3548056789
72	0.3533021656
73	0.3511767448
74	0.3497311981
75	0.3479603596
76	0.3461903868
77	0.3447625392
78	0.343393553
79	0.34168879
80	0.3403519537
81	0.3390526879
82	0.3378109472
83	0.336583351
84	0.3353772314
85	0.3341459024
86	0.3330744008
87	0.3318166293
88	0.3304089505
89	0.328959994
90	0.3278935258
91	0.3265788582
92	0.3256510078
93	0.3246510981
94	0.3237408689
95	0.3226613045
96	0.3216420291
97	0.3206714225
98	0.3193813356
99	0.3184718798
100	0.3176424943
101	0.3168382085
102	0.3156953383
103	0.3146431269
104	0.3137233234
105	0.3129228767
106	0.3120519301
107	0.311266958
108	0.3106312612
109	0.309715175
110	0.3090573022
111	0.3082480111
112	0.3074143248
113	0.3066803847
114	0.3060328348
115	0.3054511746
116	0.3048180653
117	0.3039398944
118	0.3033339213
119	0.3027439861
120	0.3018224097
121	0.301342341
122	0.3005352382
123	0.2998021139
124	0.2991919034
125	0.2984902737
126	0.2978427837
127	0.2973274558
128	0.2968238396
129	0.2962649095
130	0.2957093126
131	0.295251201
132	0.2947285064
133	0.2942859962
134	0.2938234593
135	0.2933902598
136	0.2928077661
137	0.2923686263
138	0.2920097403
139	0.291441098
140	0.2910878143
141	0.2905464064
142	0.2900190538
143	0.2894128371
144	0.2889748165
145	0.2884867766
146	0.2880016245
147	0.2875232392
148	0.2870843043
149	0.2867055876
150	0.2863383146
151	0.2858116448
152	0.2853611455
153	0.2850233954
154	0.2846993285
155	0.2843018576
156	0.2838919821
157	0.2835916631
158	0.2832530944
159	0.282955762
160	0.2825658576
161	0.2822189201
162	0.2819542905
163	0.2816808014
164	0.2813650767
165	0.2811291969
166	0.2808655104
167	0.2805650624
168	0.2803611179
169	0.2801129513
170	0.279857524
171	0.2795359036
172	0.2791704302
173	0.2789079518
174	0.2786837937
175	0.2784563356
176	0.2781278178
177	0.2779334958
178	0.2777413713
179	0.2775425303
180	0.2771963366
181	0.2770287148
182	0.2767692014
183	0.2765641513
184	0.2763877932
185	0.2762041332
186	0.2759280914
187	0.2756586854
188	0.2754189558
189	0.2751848902
190	0.274923081
191	0.27474489
192	0.2745770952
193	0.2743594771
194	0.2741921582
195	0.2740289135
196	0.2738918542
197	0.2737271688
198	0.2735616043
199	0.2733202552
200	0.2731181928
201	0.2729238334
202	0.272788309
203	0.2726752651
204	0.2725289192
205	0.2723392785
206	0.2721716377
207	0.2720445235
208	0.2718742456
209	0.2716723709
210	0.2715260947
211	0.2713183061
212	0.2711841911
213	0.2710136468
214	0.2708279807
215	0.2707027239
216	0.2705270345
217	0.2703925902
218	0.2702144203
219	0.270075931
220	0.2699438053
221	0.2697998745
222	0.2696503265
223	0.2695491093
224	0.269446901
225	0.2693509997
226	0.2692198057
227	0.26908299
228	0.2688998485
229	0.2687287422
230	0.2686208991
231	0.2684848277
232	0.2683661974
233	0.2682441129
234	0.2681551596
235	0.2680621925
236	0.2678908853
237	0.2677859106
238	0.2676866216
239	0.2676008967
240	0.2674548412
241	0.2673481477
242	0.2672454544
243	0.267150496
244	0.2670529947
245	0.2669663967
246	0.266852188
247	0.2667726836
248	0.266664079
249	0.2665720207
250	0.2664947205
251	0.2663660775
252	0.2662691415
253	0.2661098207
254	0.2660098472
255	0.2659062061
256	0.2658032025
257	0.2657338705
258	0.2655956674
259	0.2654693319
260	0.2653876785
261	0.2653032201
262	0.2651227133
263	0.2650323688
264	0.2649431257
265	0.2648628964
266	0.264778466
267	0.2647025048
268	0.2646216891
269	0.2645402961
270	0.2644765015
271	0.2644052925
272	0.2643265745
273	0.2642535224
274	0.2641493044
275	0.2640366378
276	0.2639460454
277	0.2638574893
278	0.2638015722
279	0.263733176
280	0.2636441054
281	0.2635702649
282	0.2634534593
283	0.2633896196
284	0.2633042137
285	0.2632346337
286	0.2631610499
287	0.263086694
288	0.2629877205
289	0.2629165558
290	0.2628561571
291	0.2627857444
292	0.2627302043
293	0.2626648068
294	0.2626137729
295	0.2625152777
296	0.2624542582
297	0.2623633717
298	0.2622854578
299	0.2622237414
300	0.2621695299
301	0.2621264301
302	0.2620687415
303	0.2619978561
304	0.2619312217
305	0.261870797
306	0.2618170624
307	0.2617501465
308	0.2616925369
309	0.2616323652
310	0.2615905811
311	0.2615080815
312	0.2614626088
313	0.2613789601
314	0.2613240728
315	0.2612503684
316	0.2611987394
317	0.2611555432
318	0.2611163417
319	0.2610841463
320	0.261030173
321	0.26099075
322	0.2608972536
323	0.2608394647
324	0.260797126
325	0.2607588786
326	0.2607299143
327	0.2606791114
328	0.2606323105
329	0.260555778
330	0.2604718338
331	0.2604120996
332	0.2603423748
333	0.2602922486
334	0.2602565426
335	0.2601966903
336	0.2601490531
337	0.2600623991
338	0.2599492441
339	0.2598997752
340	0.2598574023
341	0.259782645
342	0.2596940661
343	0.2596520041
344	0.2596230853
345	0.2595778807
346	0.2595422693
347	0.2594987129
348	0.2594489259
349	0.2594182903
350	0.2593498451
351	0.2593043683
352	0.2592617346
353	0.2592128142
354	0.2591703816
355	0.2591470193
356	0.2590554816
357	0.2590187852
358	0.2589842957
359	0.2589333175
360	0.2588962361
361	0.2588632512
362	0.2588322743
363	0.2587987686
364	0.2587576491
365	0.2587030325
366	0.2586529366
367	0.2586156818
368	0.2585922159
369	0.2585438503
370	0.2585160109
371	0.2584828113
372	0.2584560985
373	0.2584334339
374	0.2583939865
375	0.2583066301
376	0.2582663666
377	0.2582339444
378	0.2581947394
379	0.2581352391
380	0.2580932985
381	0.2580495914
382	0.2580254946
383	0.2579739336
384	0.2579403268
385	0.2579133534
386	0.2578485955
387	0.2578060059
388	0.2577787899
389	0.2577424538
390	0.2577041814
391	0.2576702052
392	0.2576052112
393	0.2575789205
394	0.2575413794
395	0.257480595
396	0.2574543316
397	0.2574208222
398	0.257403405
399	0.2573541397
400	0.2573121026
401	0.2572955855
402	0.2572514968
403	0.2572163369
404	0.2571983103
405	0.2571665555
406	0.2571361558
407	0.2570885735
408	0.2570263094
409	0.2569948571
410	0.2569614307
411	0.256918314
412	0.2568864847
413	0.2568377014
414	0.2568063576
415	0.2567653169
416	0.2567348619
417	0.2566896693
418	0.2566697258
419	0.2566281892
420	0.2565854707
421	0.2565669317
422	0.2565438578
423	0.2564786793
424	0.2564507947
425	0.256421644
426	0.2563949362
427	0.2563654812
428	0.256338977
429	0.2562954539
430	0.2562604429
431	0.256228899
432	0.2562093601
433	0.256184168
434	0.2561388272
435	0.2561016482
436	0.2560635837
437	0.2560394953
438	0.2560128258
439	0.2559937173
440	0.2559460022
441	0.255907886
442	0.2558908159
443	0.2558692111
444	0.2558564296
445	0.2558266473
446	0.2557853966
447	0.2557484623
448	0.2557032192
449	0.255685947
450	0.2556512155
451	0.2556182845
452	0.2555870061
453	0.2555442385
454	0.2555293528
455	0.2555165857
456	0.2554888849
457	0.2554676584
458	0.255450433
459	0.2554399608
460	0.2554091539
461	0.2553635371
462	0.255349002
463	0.255327994
464	0.255303749
465	0.2552808584
466	0.2552554192
467	0.2551923717
468	0.255155379
469	0.2551400545
470	0.2551041177
471	0.2550814729
472	0.2550452344
473	0.2550251382
474	0.255011602
475	0.2549873447
476	0.2549539509
477	0.2549355334
478	0.2549233805
479	0.2548866788
480	0.254865355
481	0.2548519736
482	0.2548162032
483	0.2547988413
484	0.2547730183
485	0.2547447704
486	0.2547175429
487	0.2546978971
488	0.2546718248
489	0.2546561393
490	0.2546354452
491	0.2546090894
492	0.2545716827
493	0.2545522054
494	0.2545246094
495	0.2544842231
496	0.2544646666
497	0.2544432703
498	0.2544040063
499	0.2543898005
500	0.2543595543
501	0.2543405515
502	0.2543199278
503	0.2543009183
504	0.2542602625
505	0.2542471489
506	0.2542279768
507	0.2542146254
508	0.2541979404
509	0.2541847781
510	0.254173543
511	0.2541544312
512	0.2541145766
513	0.2540977761
514	0.2540754312
515	0.2540530571
516	0.2540433442
517	0.2540214808
518	0.2540132109
519	0.253978981
520	0.2539588705
521	0.2539334512
522	0.2539161337
523	0.2539042563
524	0.2538720429
525	0.2538451941
526	0.2538306992
527	0.2537934039
528	0.2537643871
529	0.2537485915
530	0.2537260342
531	0.253712613
532	0.2537060164
533	0.2536819213
534	0.2536645675
535	0.2536493001
536	0.2536293705
537	0.2536079296
538	0.2535900585
539	0.2535595584
540	0.2535506942
541	0.2535241377
542	0.2535028633
543	0.2534796205
544	0.2534592049
545	0.2534447265
546	0.2534213329
547	0.2534038854
548	0.2533915269
549	0.2533776888
550	0.2533529735
551	0.2533282983
552	0.2533098654
553	0.2532916463
554	0.2532739957
555	0.2532555469
556	0.2532453359
557	0.2532296598
558	0.2532223632
559	0.2531992446
560	0.2531745936
561	0.2531666501
562	0.253146448
563	0.2531331704
564	0.2531206547
565	0.253094367
566	0.2530777497
567	0.2530612006
568	0.2530471922
569	0.2530335138
570	0.2530084541
571	0.2529767451
572	0.2529167556
573	0.2528944671
574	0.2528831141
575	0.2528613281
576	0.2528525167
577	0.2528422491
578	0.2528306607
579	0.2527934995
580	0.2527849022
581	0.2527656606
582	0.2527568483
583	0.2527155242
584	0.2526819072
585	0.2526685525
586	0.2526593548
587	0.2526365209
588	0.2526239376
589	0.2526116434
590	0.2525880857
591	0.2525555058
